Id,Name,Alt_Name,Family,Birth_Date,Death_Date,Earliest_Citation_Date,Latest_Citation_Date,Office Association,Office_Titles,Family_Relation_Type_Note,Family_Relation_Type,Family_Relation_Name,Office_Start_1,Office_End_1,Office_Start_2,Office_End_2,Regions_1,Regions_2,Note,Source (Secondary),Source (Primary)
1,Odonuj de Taxo,,Tassis,,,1146,1146,,,,,,,,,,,,,,"Tass.D.7.13; Acti Vitali, Arch. de Astino 5"
2,Io. de Tazzo de Camerata,,Tassis,,,1233,1233,,,,,,,,,,Lombardy,Bergamo,,,Tass.D.7.13; Arch. Cathed. I. Tasso 14
3,Omodeo de Tassis del Cornello,,Tassis,,1290,1290,1290,,,,,,,,,,Lombardy,,"“aveva ottenuto dalla repubblica veneziana il permesso di svolgere il proprio lavoro aprendo la lunga collaborazione fra cavallanti e Serenissima, al ramo della famiglia gia insediato a Gorizia, dove gestiva poste estese alla Stiria e al Tirolo” (Caizzi 16)","Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.; Caizzi, Bruno. Dalla posta dei re alla posta di tutti: Territorio e comunicazioni in Italia dal XVI secolo all’Unità. Milan: Franco Angeli, 1993.",
4,Benedetto de Tassis,Ferrario,Tassis,,1353,1353,1353,,,,,,,,,,Lombardy,,,"Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.",
5,Guarisco de Tassis,il Rosso,Tassis,,,1353,1353,,,,,,,,,,,,,"Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.",
6,Borghino,,,,,1406,1406,Cavallari of Lazio,Cavallaro,"""famiglio del Campanaro cavallaro""",Family,Campanaro,,,,,Tuscany;Lazio,Florence;Viterbo,"""Anche prestai a Borghino, famiglio del Campanaro cavallaro, perché recassi una lettera a’ Dieci, da Viterbo qui""",,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
7,Campanaro,,,,,1406,1406,Cavallari of Lazio,Cavallaro,,,,,,,,Tuscany;Lazio,Florence;Viterbo,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
8,Luca,,,,,1406,1406,Tuscan Couriers,Courier,,,,,,,,Tuscany;Lazio,Florence;Rome,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
9,Paolo da Foiano a Todi,,,,,1406,1406,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Lazio,Florence;Gaeta,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
10,Troncone,,,,,1406,1406,Tuscan Couriers,Courier,,,,,,,,Tuscany;Lazio,Florence;Rome,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
11,Antonio da Vinci,,,,,1407,1407,Tuscan Couriers,Courier,,,,,,,,Tuscany;Umbria,Florence;Perugia,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
12,Paxio Tasso,Muzio Tasso,Tassis,,1414,1414,1414,,,,,,,,,,Lombardy,,,"Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.",
13,Beano,Beiano,,,,1421,1421,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Lazio,Florence;Gaeta,"""cavallaro dalla vostra Signoria""; ""Si che piacciavi mandare presto a Roma questo o un altro cavallaro: ma perchè Beiano ci ha fatto presto e buon servigio, et è buono, piaccia alla vostra Signoria rimandar lui; alla quale quanto possiamo el raccomandiamo: e per vostra lettera comandarci quanto abbiamo a seguire.""",,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
14,Campanellone,,,,,1421,1421,Tuscan Couriers,Courier,,,,,,,,Tuscany;Lazio,Florence;Gaeta,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
15,Conestabile,,,,,1421,1421,Tuscan Couriers,Courier,,,,,,,,Tuscany;Lazio,Florence;Gaeta,"""E la detta lettera mandamo con lettere di questi mercatanti, e nel mazo che si dirizò a Niccola e. Cambio de'Medici, per uno corriere che si chiama Conestabile""",,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
16,Ioanni di Candia,Giovanni di Candia,,,,1421,1421,Tuscan Couriers,Courier,,,,,,,,Tuscany;Lazio,Florence;Gaeta,"""uno corriere alla compagnia di Ioanni de'Medici""",,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
17,Piero di Domenico,,,,,1421,1421,Tuscan Couriers,Courier,,,,,,,,Tuscany;Naples,Florence;Naples,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
18,San Cristofano da Firenze,Cristofano Gatani(?),,,,1421,1421,Tuscan Couriers,Courier,,,,,,,,Tuscany;Naples,Florence;Naples,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
19,Guastalamarca,,,,,1406,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Naples,Florence;Naples,"""Mandata per Guastalamarca, corriere de’ Dieci.""",,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
20,Antonino,,,,,1423,1423,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
21,Antonio da Lodi,,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
22,Antonio Ferrarino da Ferrara,,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
23,Arrigo Tedesco,,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
24,Berardo di Giunta da Norcia,Berardo da Norcia,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
25,Biagio,,,,,1423,1423,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
26,Cremonino da Cremona,,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
27,Farina da Firenze,,,,,1423,1423,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Emilia Romagna;Lazio,Florence;Bologna;Rome,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
28,Federigo da Castrocaro,,,,,1423,1423,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
29,Giorgio d'Arrigo Tedesco,,,,,1423,1423,Tuscan Couriers,Courier,Arrigo Tedesco,Child,Arrigo Tedesco,,,,,Tuscany;Emilia Romagna,Florence;Cesena,"""Mandata per Giorgio d’Arrigo tedesco, corriere de’ detti Dieci.""",,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
30,Giovanni di Cristofano da Verona,Giovanni da Verona,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
31,Gregorio di Schiavonia,,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
32,Ioanni di Schiavonia da Fano,Giovanni di Schiavonia,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
33,Ripa,,,,,1423,1423,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,"""cavallaro del commune""",,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
34,Risorbole,,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
35,Sparapane da Firenze,,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna;Lazio,Florence;Bologna;Rome,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
36,Stefano Boemmo,Stefano di Boemia,,,,1423,1423,Tuscan Couriers,Courier,,,,,,,,Tuscany;Emilia Romagna,Florence;Cesena,,,"Guasti, Cesare, ed. Commissioni di Rinaldo degli Albizzi per il comune di Firenze. Florence: M. Cellini, 1867."
37,Alessandro de Tassis,,Tassis,,1443,1443,1443,,,Father of Cristoforo and Agostino Sandri; Merchant,Parent,Cristoforo and Agostino Sandri,,,,,Lazio,Rome,Father of Cristoforo and Agostino Sandri; Merchant,"Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.",
38,Cristoforo da Siviglia,,Siviglia,,,1445,1445,Papal Post,Magister Cursorum,,,,,1445,,,Lazio,Rome,Foundational member of Papal Post,"Clemente Fedele and Marco Gallenga, “Per servizio di nostro signore”: Strade, corrieri, e poste dei papi dal medioevo al 1870 (Prato, Italy: Modena, Italy: Mucchi, 1988)",
39,Guidone Chelli,,Chelli,,,1446,1446,Papal Post,Magister Cursorum,,,,1446,,,,Lazio,Rome,Foundational member of Papal Post,"Clemente Fedele and Marco Gallenga, “Per servizio di nostro signore”: Strade, corrieri, e poste dei papi dal medioevo al 1870 (Prato, Italy: Modena, Italy: Mucchi, 1988)",
40,Pietro de Tassis,Pietro Tasso,Tassis,,1450,1450,1450,,,,,,,,,,Lombardy,,,"Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.",
41,Antonio da Milano,,Milano,,,1439,1455,Papal Post,Magister Cursorum,,,,1439,1455,,,Lazio,Rome,Foundational member of Papal Post,"Clemente Fedele and Marco Gallenga, “Per servizio di nostro signore”: Strade, corrieri, e poste dei papi dal medioevo al 1870 (Prato, Italy: Modena, Italy: Mucchi, 1988)",
42,Antonio Rocheta,,Rocheta,,,1455,1461,Papal Post,Magister Cursorum,,,,1455,1461,,,Lazio,Rome,Foundational member of Papal Post,"Clemente Fedele and Marco Gallenga, “Per servizio di nostro signore”: Strade, corrieri, e poste dei papi dal medioevo al 1870 (Prato, Italy: Modena, Italy: Mucchi, 1988)",
43,Giacomo Maselli,,Maselli,,,1471,1471,Papal Post,Magister Cursorum,,,,1471,,,,Lazio,Rome,,"D. Miracco, I grandi itinerari postali della compagnia dei corrieri veneti, in ""Giornale economico della Camera di Commercio di Venezia"" dicembre 1964, 1164-1172.",
44,Robert Paon,,Paon,,,1479,1479,French Couriers,Contrôleur general des chevaucher de l’écurie du roi,,,,1479,,,,France,Paris,,,
45,Antonio di Batolomeo del Vantaggio,,Vantaggio,,1480,1457,1480,Tuscan Postmaster,Maestro dei corrieri,,,,1457,1480,,,Tuscany,Florence,"""Operating out of Florence... he offered a service that took in almost the entire network: it covered all of Italy, from Milan and Venice to Rome an dNAples, and extended beyond, throughout all of western Europe, to Geneva, Lyons, Catalonia, Lisbon, Bruges and London. He carried about four hundred letters a year for the Cambini company alone, and in one eighteenth-month period in 1473-74 he sent eighty one couriers ot Venice for the wool firm of Benedetto di Antonio Salutati and Ristoro di Antonio Serristori. He offered a kind of subscription, contracting his service for set periods of itme; thus one of his clients, the firm of Filippo and Lorenzo di MAtteo Strozzi, paid him 40 lire on 1 January 1473 to handle all their correspondence ot and from Rome for a year."" (95)","Goldthwaite, Richard. The Economy of Renaissance Florence. Baltimore: Johns Hopkins University Press, 2009.",
46,Cristoforo de Tassis,,Tassis,1463,1486,1463,1486,Venetian Company of Couriers; Papal Post,Maestro dei corrieri;Postmaster,"Son of Antonio von Taxis in Rome (?): ""... nach dem Tode des ersten Hofpostmeisters Anton von Taxis mit seinem Bruder Josef di e Vormundschaft uber Antons Sohn Christove, den nachmailgen und letzten Hofpostmeister aus dem Hause Taxis in Wien.""",Child,Antonio von Taxis in Rome,,,,,Lazio,Rome,"Son of Antonio von Taxis in Rome (?): ""... nach dem Tode des ersten Hofpostmeisters Anton von Taxis mit seinem Bruder Josef di e Vormundschaft uber Antons Sohn Christove, den nachmailgen und letzten Hofpostmeister aus dem Hause Taxis in Wien.""","Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.; Da Cornello all'Europa",
47,Agostino Bonamigo,Augustus Bonamico,Bonamigo,,,1490,1492,Venetian Company of Couriers in Rome,Magister Cursorum,Son of Francesco Bonamigo,Child,Francesco Bonamigo,1492,,,,Veneto;Lazio,Venice;Rome,Son of Francesco Bonamigo,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, I.1"
48,Francesco Bonamigo,Bonamico,Bonamigo,,1492,1490,1492,Venetian Company of Couriers in Rome,Magister Cursorum,"Responsible for foundation of la schola in 1490, father of Agostino Bonamigo",Parent,Agostino Bonamigo,1490,,,,Veneto;Lazio,Venice;Rome,"Responsible for foundation of la schola in 1490, father of Agostino Bonamigo","Foppolo, Bonaventura. “La Mariegola della Compagnia dei Corrieri Veneti.” In Le poste dei Tasso, un’impresa in Europa: Contributi in occasione della mostra I Tasso, l’evoluzione delle poste . . . 28 aprile–3 giugno 1984. Edited by Tarcisio Bottani, 13–45. Bergamo, Italy: Comune di Bergamo, 1984.","Archivio di Stato di Venezia, Compagnia dei Corrieri, I.1"
49,Tommaso Brasca,,Brasca,,,1495,1495,Ducal Post of Milan,Postmaster,,,,,,,,Lombardy,Milan,Appointed by Gian Galeazzo Visconti,"Verga, Ettore. La Camera dei mercanti di Milano nei secoli passati. Milan: Allegretti, 1914.",
50,Piero Rizo,,Rizo,,,1499,1499,Venetian Diplomatic Courier,Courier,,,,,,,,Veneto,Venice,,"Sanudo, Marino. I diarii di Marino Sanuto. Edited by Rinaldo Fulin, et al. Venice: F. Visentini, 1889.. Vol.2 Col. 90, 241, 823",
51,Zorzi,Giorgi?,Zorzi,,,1499,1499,Venetian Diplomatic Courier,Courier,,,,,,,,Veneto,Venice,,"Sanudo, Marino. I diarii di Marino Sanuto. Edited by Rinaldo Fulin, et al. Venice: F. Visentini, 1889.",
52,Zuam Vesiga,Giovanni Vesiga?,Vesiga,,,1499,1499,Venetian Diplomatic Courier,Courier,,,,,,,,Veneto,Venice,,"Sanudo, Marino. I diarii di Marino Sanuto. Edited by Rinaldo Fulin, et al. Venice: F. Visentini, 1889.",
53,Matteo del Vecchio,,,,,1500,1500,Cavallari of Tuscany,Cavallaro,,,,,,,,Lombardy;France,Milan;Imola,,,"Machiavelli, Niccolò and Gio Battista Baldelli Boni ed (1810-1811) Opere di Nicolò Machiavelli cittadino e segretario Fiorentino, 11 vols, Milano: Co’ tipi di Luigi Mussi."
54,Cristopholeto,Cristofaleto,,,,1499,1501,Venetian Diplomatic Courier,Courier,,,,,,,,Veneto,Venice,,"Sanudo, Marino. I diarii di Marino Sanuto. Edited by Rinaldo Fulin, et al. Venice: F. Visentini, 1889.",
55,Piero Verzo,,Verzo,,,1501,1501,Venetian Diplomatic Courier,Courier,,,,,,,,Veneto,Venice,,"Sanudo, Marino. I diarii di Marino Sanuto. Edited by Rinaldo Fulin, et al. Venice: F. Visentini, 1889.",
56,Zuan Mato,Giovanni Mato,Mato,,,1501,1501,Venetian Diplomatic Courier,Courier,,,,,,,,Veneto,Venice,,"Sanudo, Marino. I diarii di Marino Sanuto. Edited by Rinaldo Fulin, et al. Venice: F. Visentini, 1889.",
57,A. de Gottifredis,,Gottifredis,,,1502,1502,Papal Cursores,Papal Cursor,,,,,,,,Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
58,Baccino,Branchino?,,,,1502,1502,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Emilia Romagna,Florence;Imola,,,"Machiavelli, Niccolò and Gio Battista Baldelli Boni ed (1810-1811) Opere di Nicolò Machiavelli cittadino e segretario Fiorentino, 11 vols, Milano: Co’ tipi di Luigi Mussi."
59,Carlo,,,,,1502,1502,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Emilia Romagna,Florence;Imola,,,"Machiavelli, Niccolò and Gio Battista Baldelli Boni ed (1810-1811) Opere di Nicolò Machiavelli cittadino e segretario Fiorentino, 11 vols, Milano: Co’ tipi di Luigi Mussi."
60,Giovanni di Domenico,,,,,1502,1502,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Emilia Romagna,Florence;Imola,"""nostro cavallaro""",,"Machiavelli, Niccolò and Gio Battista Baldelli Boni ed (1810-1811) Opere di Nicolò Machiavelli cittadino e segretario Fiorentino, 11 vols, Milano: Co’ tipi di Luigi Mussi."
61,Quattrino,,,,,1502,1502,Ducal Post of Milan,Cavallaro,,,,,,,,Lombardy;Emilia Romagna,Milan;Imola,"""è venuto un corriere di Lombardia chiamato Quattrino""",,"Machiavelli, Niccolò and Gio Battista Baldelli Boni ed (1810-1811) Opere di Nicolò Machiavelli cittadino e segretario Fiorentino, 11 vols, Milano: Co’ tipi di Luigi Mussi."
62,Zerino,,,,,1502,1502,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Emilia Romagna,Florence;Imola,,,"Machiavelli, Niccolò and Gio Battista Baldelli Boni ed (1810-1811) Opere di Nicolò Machiavelli cittadino e segretario Fiorentino, 11 vols, Milano: Co’ tipi di Luigi Mussi."
63,Juan de Solinas,,Solinas,,,1503,1503,Spanish Post in Rome,Postmaster,,,,1503,,,,Lazio;Spain,Rome,"First appointed Spanish postmaster in Rome; ""er kaufte damals um 800 Dukaten ein Haus von Maddalena de Dulcibus""","Beck, Wilhelm. “Ursprung und Ende der fremden Posten in Rom.” Archiv für das Post- und Fernmeldewesen, no. 1–7 (1959): 564–588.",
64,Cristina de Tassis,,Tassis,,1504,1504,1504,,,Wife of Leonardo Tassis,Spouse,Leonardo Tassis,,,,,,,"First wife, predeceased",,
65,Joannes de Sanctis,de Santi,de Sanctis,,,1506,1506,Venetian Company of Couriers,Magister Cursorum,Father of Alosius de Sanctis,Parent,Alosius de Sanctis,,,,,Veneto,Venice,Father of Alosius de Sanctis,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, I.1"
